samples sample_orig_name        OTU_16SsampleID Treatment       ExptRun Light   Depth   env_biome       geo_loc_name    host
HIRSN2SP12a     HIRS_N2_SP_12a  Kathleen36.N12a EXPT_15N2       R1      Low_light_(120_umol_quanta)     Depth_15-18m    coral_reef      Australia       Stylophora_pistillata
HIRSN2SP12b     HIRS_N2_SP_12b  Kathleen45.N12b EXPT_15N2       R2      High_light_(500_umol_quanta)    Depth_15-18m    coral_reef      Australia       Stylophora_pistillata
HIRSN2SP14a     HIRS_N2_SP_14a  Kathleen38.N14a EXPT_15N2       R1      Low_light_(120_umol_quanta)     Depth_15-18m    coral_reef      Australia       Stylophora_pistillata
HIRSN2SP14b     HIRS_N2_SP_14b  Kathleen46.N14b EXPT_15N2       R2      High_light_(500_umol_quanta)    Depth_15-18m    coral_reef      Australia       Stylophora_pistillata
HIRSN2SP15a     HIRS_N2_SP_15a  Kathleen39.N15a EXPT_15N2       R1      Low_light_(120_umol_quanta)     Depth_15-18m    coral_reef      Australia       Stylophora_pistillata
HIRSN2SP15b     HIRS_N2_SP_15b  Kathleen47.N15b EXPT_15N2       R2      High_light_(500_umol_quanta)    Depth_15-18m    coral_reef      Australia       Stylophora_pistillata
HIRSN2SP16a     HIRS_N2_SP_16a  Kathleen40.N16a EXPT_15N2       R3      Low_light_(120_umol_quanta)     Depth_15-18m    coral_reef      Australia       Stylophora_pistillata
HIRSN2SP16b     HIRS_N2_SP_16b  Kathleen48.N16b EXPT_15N2       R4      High_light_(500_umol_quanta)    Depth_15-18m    coral_reef      Australia       Stylophora_pistillata
HIRSN2SP18a     HIRS_N2_SP_18a  Kathleen41.N18A EXPT_15N2       R3      Low_light_(120_umol_quanta)     Depth_15-18m    coral_reef      Australia       Stylophora_pistillata
HIRSN2SP18b     HIRS_N2_SP_18b  Kathleen49.N18b EXPT_15N2       R4      High_light_(500_umol_quanta)    Depth_15-18m    coral_reef      Australia       Stylophora_pistillata
HIRSN2SP19a     HIRS_N2_SP_19a  Kathleen42.N19a EXPT_15N2       R3      Low_light_(120_umol_quanta)     Depth_15-18m    coral_reef      Australia       Stylophora_pistillata
HIRSN2SP19b     HIRS_N2_SP_19b  Kathleen50.N19b EXPT_15N2       R4      High_light_(500_umol_quanta)    Depth_15-18m    coral_reef      Australia       Stylophora_pistillata
HIRSN2SP20a     HIRS_N2_SP_20a  Kathleen43.N20a EXPT_15N2       R3      Low_light_(120_umol_quanta)     Depth_15-18m    coral_reef      Australia       Stylophora_pistillata
HIRSN2SP20b     HIRS_N2_SP_20b  Kathleen51.N20b EXPT_15N2       R4      High_light_(500_umol_quanta)    Depth_15-18m    coral_reef      Australia       Stylophora_pistillata
HIRSN2SP3a      HIRS_N2_SP_3a   Kathleen28.N3a  EXPT_15N2       R1      Low_light_(120_umol_quanta)     Depth_5m        coral_reef      Australia       Stylophora_pistillata
HIRSN2SP3b      HIRS_N2_SP_3b   Kathleen28.N3b  EXPT_15N2       R2      High_light_(500_umol_quanta)    Depth_5m        coral_reef      Australia       Stylophora_pistillata
HIRSN2SP4a      HIRS_N2_SP_4a   Kathleen26.N4a  EXPT_15N2       R1      Low_light_(120_umol_quanta)     Depth_5m        coral_reef      Australia       Stylophora_pistillata
HIRSN2SP4b      HIRS_N2_SP_4b   Kathleen30.N4b  EXPT_15N2       R2      High_light_(500_umol_quanta)    Depth_5m        coral_reef      Australia       Stylophora_pistillata
HIRSN2SP5a      HIRS_N2_SP_5a   Kathleen44.N5a  EXPT_15N2       R1      Low_light_(120_umol_quanta)     Depth_5m        coral_reef      Australia       Stylophora_pistillata
HIRSN2SP5b      HIRS_N2_SP_5b   Kathleen31.N5b  EXPT_15N2       R2      High_light_(500_umol_quanta)    Depth_5m        coral_reef      Australia       Stylophora_pistillata
HIRSN2SP6a      HIRS_N2_SP_6a   Kathleen34.N6a  EXPT_15N2       R1      Low_light_(120_umol_quanta)     Depth_5m        coral_reef      Australia       Stylophora_pistillata
