sample	C_I:79	C_I:74	C_I:184	C_I:183	C_I:82	C_I:225	C_I:344	C_I:347	C_I:69	C_I:68	C_I:61	C_I:65	C_I:190	C_I:191	C_I:197	C_I:111	C_I:298	C_I:114	C_I:118	C_I:290	C_I:461	C_I:294	C_I:211	C_I:3	C_I:352	C_I:219	C_I:356	C_I:6	C_I:285	C_I:364	C_I:363	C_I:416	C_I:165	C_I:163	C_I:162	C_I:203	C_I:372	C_I:402	C_I:379	C_I:407	C_I:279	C_I:54	C_I:52	C_I:53	C_I:50	C_I:51	C_I:273	C_I:58	C_I:59	C_I:34	C_I:0	C_I:1	C_I:2	C_I:434	C_I:4	C_I:5	C_I:431	C_I:8	C_I:9	C_I:179	C_I:381	C_I:382	C_I:305	C_I:40	C_I:141	C_I:146	C_I:262	C_I:48	C_I:149	C_I:148	C_I:24	C_I:23	C_I:20	C_I:421	C_I:423	C_I:426	C_I:176	C_I:254	C_I:253	C_I:390	C_I:314	C_I:315	C_I:310	C_I:154	C_I:155	C_I:156	C_I:157	C_I:151	C_I:153	C_I:12	C_I:10	C_I:16	C_I:15	C_I:19	C_I:174	C_I:56	C_I:244	C_I:453	C_I:459	C_I:458	C_I:327	C_I:326	C_I:324	C_I:126	C_I:171	C_I:440	C_I:239	C_I:231	C_I:339	C_I:336	C_I:135	C_I:330	C_I:134	C_I:333
Morrow30-HIRS-N2-SP-12a_S30 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	13472 	0 	0 	0 	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	8526 	9 	84 	0 	6405 	0 	0 	0 	0 	21 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	34 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	1 	82 	0 	86 	0 	3
Morrow28-HIRS-N2-SP-9a_S28 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	1814 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	11326 	73 	147 	0 	16325 	0 	1 	0 	0 	46 	8 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	7 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	23 	0 	0 	0 	0 	1 	0 	9 	0 	0
Morrow2-HIRS-E-SP-2A_S2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	914 	0 	0 	0 	253 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	4 	0 	0 	0 	5 	0 	0 	8109 	5780 	170 	0 	11438 	0 	0 	0 	0 	192 	38 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	9 	0 	0 	0 	0 	1 	2 	4 	0 	2
Morrow4-HIRS-E-SP-1B_S4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	910 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	19628 	523 	183 	0 	14114 	0 	0 	0 	0 	21 	10 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	20 	0 	0 	0 	0 	0 	1 	0 	0 	0
Morrow13-HIRS-E-SP-5A_S13 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5255 	1 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	10814 	6 	84 	0 	13605 	0 	0 	0 	0 	22 	13 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	24 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	2 	0 	47 	0 	25
Morrow36-HIRS-N2-SP-16a_S36 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1584 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	22128 	9 	45 	2 	8067 	0 	0 	0 	0 	30 	8 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	15 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	1 	52 	0 	41 	0 	0
Morrow25-HIRS-N2-SP-7b_S25 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	9970 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	4013 	6 	44 	1 	13187 	1 	1 	0 	0 	17 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	19 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	36 	0 	33 	0 	0
Morrow27-HIRS-N2-SP-8b_S27 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	816 	1 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	13451 	3477 	290 	0 	10219 	0 	1 	0 	0 	33 	10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	10 	0 	0 	0 	0 	0 	0 	0 	0 	0
Morrow20-HIRS-N2-SP-5a_S20 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1090 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	12706 	3810 	180 	0 	11632 	0 	0 	0 	0 	21 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	17 	0 	0 	0 	0 	1 	0 	0 	0 	0
Morrow22-HIRS-N2-SP-6a_S22 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1075 	0 	1 	0 	265 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	6 	0 	0 	7726 	10796 	297 	0 	9908 	0 	1 	0 	0 	15 	11 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	17 	0 	0 	0 	0 	0 	0 	0 	0 	0
