ITS Sample ID,Collection Site,Coral Species,Coral Code,Treatment,ExptRun,Special,Depth,Light
HIRS_N2_SP_12a,Heron,S_pistillata,SP,15N2,R1,SP12a,15-18m,Low light (120 umol quanta)
HIRS_N2_SP_12b,Heron,S_pistillata,SP,15N2,R2,SP12b,15-18m,High light (500 umol quanta)
HIRS_N2_SP_14a,Heron,S_pistillata,SP,15N2,R1,SP14a,15-18m,Low light (120 umol quanta)
HIRS_N2_SP_14b,Heron,S_pistillata,SP,15N2,R2,SP14b,15-18m,High light (500 umol quanta)
HIRS_N2_SP_15a,Heron,S_pistillata,SP,15N2,R1,SP15a,15-18m,Low light (120 umol quanta)
HIRS_N2_SP_15b,Heron,S_pistillata,SP,15N2,R2,SP15b,15-18m,High light (500 umol quanta)
HIRS_N2_SP_16a,Heron,S_pistillata,SP,15N2,R3,SP16a,15-18m,Low light (120 umol quanta)
HIRS_N2_SP_16b,Heron,S_pistillata,SP,15N2,R4,SP16b,15-18m,High light (500 umol quanta)
HIRS_N2_SP_18a,Heron,S_pistillata,SP,15N2,R3,SP18a,15-18m,Low light (120 umol quanta)
HIRS_N2_SP_18b,Heron,S_pistillata,SP,15N2,R4,SP18b,15-18m,High light (500 umol quanta)
HIRS_N2_SP_19a,Heron,S_pistillata,SP,15N2,R3,SP19a,15-18m,Low light (120 umol quanta)
HIRS_N2_SP_19b,Heron,S_pistillata,SP,15N2,R4,SP19b,15-18m,High light (500 umol quanta)
HIRS_N2_SP_20a,Heron,S_pistillata,SP,15N2,R3,SP20a,15-18m,Low light (120 umol quanta)
HIRS_N2_SP_20b,Heron,S_pistillata,SP,15N2,R4,SP20b,15-18m,High light (500 umol quanta)
HIRS_N2_SP_3a,Heron,S_pistillata,SP,15N2,R1,SP3a,5m,Low light (120 umol quanta)
HIRS_N2_SP_3b,Heron,S_pistillata,SP,15N2,R2,SP3b,5m,High light (500 umol quanta)
HIRS_N2_SP_4a,Heron,S_pistillata,SP,15N2,R1,SP4a,5m,Low light (120 umol quanta)
HIRS_N2_SP_4b,Heron,S_pistillata,SP,15N2,R2,SP4b,5m,High light (500 umol quanta)
HIRS_N2_SP_5a,Heron,S_pistillata,SP,15N2,R1,SP5a,5m,Low light (120 umol quanta)
HIRS_N2_SP_5b,Heron,S_pistillata,SP,15N2,R2,SP5b,5m,High light (500 umol quanta)
HIRS_N2_SP_6a,Heron,S_pistillata,SP,15N2,R1,SP6a,5m,Low light (120 umol quanta)
HIRS_N2_SP_6b,Heron,S_pistillata,SP,15N2,R2,SP6b,5m,High light (500 umol quanta)
HIRS_N2_SP_7a,Heron,S_pistillata,SP,15N2,R3,SP7a,5m,Low light (120 umol quanta)
HIRS_N2_SP_7b,Heron,S_pistillata,SP,15N2,R4,SP7b,5m,High light (500 umol quanta)
HIRS_N2_SP_8a,Heron,S_pistillata,SP,15N2,R3,SP8a,5m,Low light (120 umol quanta)
HIRS_N2_SP_8b,Heron,S_pistillata,SP,15N2,R4,SP8b,5m,High light (500 umol quanta)
HIRS_N2_SP_9a,Heron,S_pistillata,SP,15N2,R3,SP9a,5m,Low light (120 umol quanta)
HIRS_N2_SP_9b,Heron,S_pistillata,SP,15N2,R4,SP9b,5m,High light (500 umol quanta)
