nifHtypeID	clusterRepID	identityToClusterRep
nifH_novo_0006	nifH_novo_0006	100%
nifH_novo_0052	nifH_novo_0052	100%
nifH_novo_0106	nifH_novo_0106	100%
nifH_novo_0108	nifH_novo_0108	100%
nifH_novo_0155	nifH_novo_0108	+/97.65%
nifH_novo_0153	nifH_novo_0153	100%
nifH_novo_0177	nifH_novo_0177	100%
nifH_novo_0321	nifH_novo_0321	100%
nifH_novo_0324	nifH_novo_0324	100%
nifH_novo_0327	nifH_novo_0327	100%
nifH_novo_0328	nifH_novo_0328	100%
nifH_novo_0331	nifH_novo_0331	100%
nifH_novo_0337	nifH_novo_0337	100%
nifH_novo_0339	nifH_novo_0339	100%
nifH_novo_1008	nifH_novo_1008	100%
nifH_novo_1010	nifH_novo_1010	100%
nifH_novo_3411	nifH_novo_3411	100%
nifH_novo_3412	nifH_novo_3412	100%
nifH_novo_6690	nifH_novo_6690	100%
nifH_novo_0326	nifH_novo_7096	+/97.63%
nifH_novo_0329	nifH_novo_7096	+/97.33%
nifH_novo_0336	nifH_novo_7096	+/98.52%
nifH_novo_7096	nifH_novo_7096	100%
nifH_novo_7099	nifH_novo_7096	+/99.41%
nifH_novo_7278	nifH_novo_7279	+/99.70%
nifH_novo_7279	nifH_novo_7279	100%
nifH_novo_7281	nifH_novo_7279	+/99.41%
nifH_novo_0121	nifH_novo_7329	+/97.92%
nifH_novo_1209	nifH_novo_7329	+/97.63%
nifH_novo_7329	nifH_novo_7329	100%
nifH_novo_7330	nifH_novo_7329	+/99.70%
nifH_novo_7332	nifH_novo_7329	+/99.41%
nifH_novo_7392	nifH_novo_7392	100%
nifH_novo_7393	nifH_novo_7392	+/99.71%
nifH_novo_7457	nifH_novo_7457	100%
nifH_novo_7458	nifH_novo_7457	+/99.71%
nifH_novo_7460	nifH_novo_7457	+/99.71%
